Name,Sector,Symbol
JP Morgan Chase,Financial Services,JPM
JPMorgan Chase,Financial Services,JPM
Juniper Networks,Unknown Sector,JNPR
Kansas City Southern,Unknown Sector,KSU
Kar Auction Services,Unknown Sector,KAR
KB Home,Consumer Cyclical,KBH
KBR,Industrials,KBR
Kellogg,Consumer Defensive,K
Kelly Services,Industrials,KELYA
Kemper,Financial Services,KMPR
Kennametal,Industrials,KMT
Keurig Dr Pepper,Consumer Defensive,KDP
KeyCorp,Financial Services,KEY
Keysight Technologies,Unknown Sector,KEYS
Kimberly-Clark,Consumer Defensive,KMB
Kinder Morgan,Energy,KMI
Kindred Healthcare,Healthcare,KND
Kirby,Unknown Sector,KEX
KKR,Financial Services,KKR
KLA,Technology,KLAC
Knight-Swift Transportation Holdings,Industrials,KNX
Knights of Columbus,Unknown Sector,KCXIX
Kohl's,Consumer Cyclical,KSS
Kohl’s,Consumer Cyclical,KSS
Korn Ferry,Unknown Sector,KFY
Kraft Foods,Consumer Defensive,KHC
Kraft Foods Group,Consumer Defensive,KHC
Kraft Heinz,Consumer Defensive,KHC
Kroger,Consumer Defensive,KR
Kyndryl Holdings,Technology,KD
L Brands,Consumer Cyclical,LB
L-3 Communications,Industrials,LHX
L3 Technologies,Industrials,LHX
L3Harris Technologies,Industrials,LHX
Laboratory Corp. of America,Healthcare,LH
Lam Research,Technology,LRCX
Lamb Weston Holdings,Unknown Sector,LW
Land O'Lakes,Consumer Defensive,nan
Land O’Lakes,Consumer Defensive,nan
Landstar System,Industrials,LSTR
Lansing Trade Group,Basic Materials,nan
Las Vegas Sands,Consumer Cyclical,LVS
Laureate Education,Unknown Sector,LAUR
LCI Industries,Unknown Sector,LCII
Lear,Consumer Cyclical,LEA
Leggett & Platt,Consumer Cyclical,LEG
Leidos Holdings,Technology,LDOS
Lennar,Consumer Cyclical,LEN
Lennox International,Industrials,LII
Leucadia National,Financial Services,LUK
Level 3 Communications,Communication Services,LVLT
Levi Strauss,Consumer Cyclical,LEVI
LGI Homes,Unknown Sector,LGIH
LHC Group,Unknown Sector,LHCG
Liberty Global,Communication Services,LBTYK
Liberty Interactive,Communication Services,nan
Liberty Media,Communication Services,LSXMA
Liberty Mutual Insurance Group,Financial Services,nan
LifePoint Health,Healthcare,LPNT
Limited Brands,Consumer Cyclical,nan
Lincoln Electric Holdings,Industrials,LECO
Lincoln National,Financial Services,LNC
Lithia Motors,Consumer Cyclical,LAD
Live Nation Entertainment,Communication Services,LYV
LKQ,Consumer Cyclical,LKQ
loanDepot,Unknown Sector,LDI
Lockheed Martin,Industrials,LMT
Loews,Financial Services,L
Lorillard,Consumer Defensive,LO
Louisiana-Pacific,Industrials,LPX
Lowe's,Consumer Cyclical,LOW
Lowe’s,Consumer Cyclical,LOW
LPL Financial Holdings,Financial Services,LPLA
Lubrizol,Basic Materials,LZ
Lululemon athletica,Consumer Cyclical,LULU
Lumen Technologies,Communication Services,LUMN
Lyft,Unknown Sector,LYFT
M/I Homes,Consumer Cyclical,MHO
M&T Bank,Financial Services,MTB
M&T Bank Corp.,Financial Services,MTB
Macy's,Consumer Cyclical,M
Macy’s,Consumer Cyclical,M
Magellan Health,Healthcare,MGLN
Magellan Midstream Partners,Unknown Sector,MMP
Mahwah Bergen Retail Group,Unknown Sector,ASNAQ
Manpower,Industrials,MAN
ManpowerGroup,Industrials,MAN
ManTech International,Unknown Sector,MANT
Marathon Oil,Energy,MRO
Marathon Petroleum,Energy,MPC
Markel,Financial Services,MKL
Marriott International,Consumer Cyclical,MAR
Marriott Vacations Worldwide,Unknown Sector,VAC
Marsh & McLennan,Financial Services,MMC
Martin Marietta Materials,Unknown Sector,MLM
Masco,Industrials,MAS
Massachusetts Mutual Life Insurance,Financial Services,nan
MasTec,Industrials,MTZ
Mastercard,Financial Services,MA
MasterCard,Financial Services,MA
Match Group,Unknown Sector,MTCH
Matson,Unknown Sector,MATX
Mattel,Consumer Cyclical,MAT
Maxim Integrated Products,Unknown Sector,nan
Maximus,Unknown Sector,MMS
McAfee,Unknown Sector,nan
McCormick,Consumer Defensive,MKC
McDonald's,Consumer Cyclical,MCD
McDonald’s,Consumer Cyclical,MCD
McGraw Hill Financial,Financial Services,nan
McGraw-Hill,Communication Services,nan
McKesson,Healthcare,MCK
MDC Holdings,Consumer Cyclical,MDC
MDU Resources Group,Industrials,MDU
MeadWestvaco,Basic Materials,MWV
Medco Health Solutions,Healthcare,MHS
Medical Mutual of Ohio,Unknown Sector,nan
Mednax,Unknown Sector,MDLZ
Medtronic,Healthcare,MDT
Merck,Healthcare,MRK
Mercury General,Unknown Sector,MCY
Meredith,Communication Services,MDP
Meritage Homes,Unknown Sector,MTH
Meritor,Consumer Cyclical,MTOR
Meta Platforms,Communication Services,META
MetLife,Financial Services,MET
MetroPCS Communications,Communication Services,PCS
Mettler-Toledo International,Unknown Sector,MTD
MGM Resorts International,Consumer Cyclical,MGM
Michaels,Unknown Sector,nan
Michaels Cos.,Consumer Cyclical,MIK
Microchip Technology,Unknown Sector,MCHP
Micron Technology,Technology,MU
Microsoft,Technology,MSFT
Middleby,Unknown Sector,MIDD
MKS Instruments,Unknown Sector,MKSI
Moderna,Healthcare,MRNA
Modine Manufacturing,Unknown Sector,MOD
Mohawk Industries,Consumer Cyclical,MHK
Molina Healthcare,Healthcare,MOH
Molson Coors Beverage,Consumer Defensive,TAP
Molson Coors Brewing,Consumer Defensive,TAP
Momentive Specialty Chemicals,Basic Materials,NAN
Mondelez International,Consumer Defensive,MDLZ
Mondelēz International,Consumer Defensive,MDLZ
Monsanto,Basic Materials,MON
Monster Beverage,Unknown Sector,MNST
Moody's,Unknown Sector,MCO
Moog,Unknown Sector,MOG-A
Morgan Stanley,Financial Services,MS
Mosaic,Basic Materials,MOS
Motorola Mobility Holdings,Technology,MSI
Motorola Solutions,Technology,MSI
Mr. Cooper Group,Unknown Sector,COOP
MRC Global,Energy,MRC
MSC Industrial Direct,Unknown Sector,MSM
Mueller Industries,Industrials,MLI
Murphy Oil,Energy,MUR
Murphy USA,Consumer Cyclical,MUSA
Mutual of Omaha Insurance,Financial Services,nan
Mylan,Healthcare,MYL
MYR Group,Unknown Sector,MYRG
Nasdaq,Unknown Sector,NDAQ
Nash-Finch,Consumer Defensive,NAFC
National Oilwell Varco,Energy,NOV
Nationwide,Financial Services,nan
Navient,Financial Services,NAVI
Navistar International,Industrials,NAV
NCR,Technology,NCR
NetApp,Technology,NTAP
Netflix,Communication Services,NFLX
New Jersey Resources,Unknown Sector,NJR
New York Life Insurance,Financial Services,nan
Newell Brands,Consumer Defensive,NWL
Newell Rubbermaid,Consumer Defensive,NAN
Newmark Group,Unknown Sector,NMRK
NewMarket,Unknown Sector,NEU
Newmont,Basic Materials,NEM
Newmont Goldcorp,Basic Materials,nan
Newmont Mining,Basic Materials,NEM
News Corp.,Communication Services,NWSA
Nexstar Media Group,Unknown Sector,NXST
NextEra Energy,Utilities,NEE
NGL Energy Partners,Energy,NGL
NII Holdings,Communication Services,NIHD
Nike,Consumer Cyclical,NKE
NiSource,Utilities,NI
NLV Financial,Unknown Sector,NLVVF
Noble Energy,Energy,NBL
Nordson,Unknown Sector,NDSN
Nordstrom,Consumer Cyclical,JWN
Norfolk Southern,Industrials,NSC
Northeast Utilities,Utilities,NU
Northern Trust,Financial Services,NTRS
Northrop Grumman,Industrials,NOC
Northwestern Mutual,Financial Services,nan
NortonLifeLock,Unknown Sector,NLOK
NOV,Unknown Sector,NOV
NRG Energy,Utilities,NRG
Nu Skin Enterprises,Unknown Sector,NUS
Nucor,Basic Materials,NUE
NuStar Energy,Energy,NS
Nvidia,Technology,NVDA
NVR,Consumer Cyclical,NVR
NYSE Euronext,Financial Services,ENX.PA
O-I Glass,Unknown Sector,OI
O'Reilly Automotive,Consumer Cyclical,ORLY
O’Reilly Automotive,Consumer Cyclical,ORLY
Oaktree Capital Group,Financial Services,OAK-PA
Occidental Petroleum,Energy,OXY
ODP,Consumer Cyclical,ODP
Office Depot,Consumer Cyclical,ODP
OfficeMax,Consumer Cyclical,nan
OGE Energy,Utilities,OGE
Ohio National Mutual,Unknown Sector,nan
Old Dominion Freight Line,Unknown Sector,ODFL
Old Republic International,Financial Services,ORI
Olin,Basic Materials,OLN
Omnicare,Healthcare,OCR
Omnicom Group,Communication Services,OMC
ON Semiconductor,Technology,ON
OneMain Holdings,Unknown Sector,OMF
Oneok,Energy,OKE
Opendoor Technologies,Real Estate,OPEN
Option Care Health,Unknown Sector,OPCH
Oracle,Technology,ORCL
Oshkosh,Industrials,OSK
Otis Worldwide,Industrials,OTIS
Overstock.com,Unknown Sector,OSTK
Ovintiv,Energy,OVV
Owens & Minor,Healthcare,OMI
Owens Corning,Industrials,OC
Owens-Illinois,Consumer Cyclical,OI
Paccar,Industrials,PCAR
Pacific Life,Financial Services,nan
Packaging Corp. of America,Consumer Cyclical,PKG
PAE,Unknown Sector,PAE
Palo Alto Networks,Unknown Sector,PANW
Pantry,Consumer Defensive,PTRY
Par Pacific Holdings,Energy,PARR
Paramount Global,Communication Services,PARA
Parker Hannifin,Industrials,PH
Parker-Hannifin,Industrials,PH
Parsons,Technology,PSN
Patrick Industries,Unknown Sector,PATK
Patterson,Healthcare,PDCO
Paychex,Unknown Sector,PAYX
PayPal Holdings,Financial Services,PYPL
PBF Energy,Energy,PBF
PC Connection,Unknown Sector,CNXN
Peabody Energy,Energy,BTU
Penn Mutual Life Insurance,Unknown Sector,nan
Penn National Gaming,Unknown Sector,PENN
PennyMac Financial Services,Unknown Sector,PFSI
Penske Automotive Group,Consumer Cyclical,PAG
People's United Financial,Unknown Sector,PBCT
Pepco Holdings,Consumer Defensive,POM
PepsiCo,Consumer Defensive,PEP
Performance Food Group,Consumer Defensive,PFGC
PerkinElmer,Healthcare,PKI
Perspecta,Unknown Sector,PRSP
Petco Health and Wellness,Unknown Sector,WOOF
Peter Kiewit Sons',Industrials,nan
Peter Kiewit Sons’,Industrials,NAN
PetSmart,Consumer Cyclical,PETM
Pfizer,Healthcare,PFE
PG&E,Utilities,PCG
PG&E Corp.,Utilities,PCG
Philip Morris International,Consumer Defensive,PM
Phillips 66,Energy,PSX
Phillips-Van Heusen,Consumer Cyclical,PVH
Pinnacle West Capital,Utilities,PNW
Pioneer Natural Resources,Energy,PXD
Pitney Bowes,Industrials,PBI
Plains All American Pipeline,Energy,PAA
Plains GP Holdings,Energy,PAGP
Playtika Holding,Unknown Sector,PLTK
Plexus,Unknown Sector,PLXS
PNC Financial Services,Financial Services,PNC
PNC Financial Services Group,Financial Services,PNC
Polaris,Consumer Cyclical,PII
Polaris Industries,Consumer Cyclical,PII
Polo Ralph Lauren,Consumer Cyclical,NAN
Pool,Unknown Sector,POOL
Popular,Unknown Sector,BPOP
Portland General Electric,Unknown Sector,POR
Post Holdings,Consumer Defensive,POST
PPD,Unknown Sector,nan
PPG Industries,Basic Materials,PPG
PPL,Utilities,PPL
PRA Health Sciences,Unknown Sector,PRAH
Praxair,Basic Materials,PX
Precision Castparts,Industrials,PCP
Priceline Group,Consumer Cyclical,PCLM
Priceline.com,Consumer Cyclical,PCLN
PriceSmart,Unknown Sector,PSMT
Primerica,Unknown Sector,PRI
Primoris Services,Unknown Sector,PRIM
Principal Financial,Financial Services,PFG
Principal Financial Group,Financial Services,PFG
Procter & Gamble,Consumer Defensive,PG
PROG Holdings,Unknown Sector,PRG
Progress Energy,Energy,PGN
Progressive,Financial Services,PGR
Prologis,Unknown Sector,PLD
Prudential Financial,Financial Services,PRU
Public Service Enterprise Group,Utilities,PEG
Public Storage,Unknown Sector,PSA
Publix Super Markets,Consumer Defensive,nan
Puget Energy,Utilities,PSD
PulteGroup,Consumer Cyclical,PHM
PVH,Consumer Cyclical,PVH
Qorvo,Unknown Sector,QRVO
Quad/Graphics,Unknown Sector,QUAD
Qualcomm,Technology,QCOM
Quanta Services,Industrials,PWR
Quest Diagnostics,Healthcare,DGX
Quintiles IMS Holdings,Healthcare,IQV
Quintiles Transnational Holdings,Healthcare,IQV
Qurate Retail,Consumer Cyclical,QRTEA
Qwest Communications,Communication Services,nan
R.R. Donnelley & Sons,Industrials,RRD
Rackspace Technology,Unknown Sector,RXT
RadioShack,Consumer Cyclical,nan
Ralph Lauren,Consumer Cyclical,RL
Range Resources,Unknown Sector,RRC
Raymond James Financial,Financial Services,RJF
Raytheon,Industrials,RTN
Raytheon Technologies,Industrials,RTX
Realogy Holdings,Real Estate,RLGY
Regal Beloit,Unknown Sector,NAN
Regeneron Pharmaceuticals,Healthcare,REGN
Regions Financial,Financial Services,RF
Reinsurance Group of America,Financial Services,RGA
Reliance Steel & Aluminum,Basic Materials,RS
Renewable Energy Group,Unknown Sector,REGI
Rent-A-Center,Unknown Sector,RAC.DU
Republic Services,Industrials,RSG
Resideo Technologies,Unknown Sector,REZI
ResMed,Unknown Sector,RMD
Resolute Forest Products,Unknown Sector,RFP
REV Group,Unknown Sector,REVG
Revlon,Consumer Defensive,REVRQ
Rexnord,Industrials,RRX
Reynolds American,Consumer Cyclical,nan
RH,Unknown Sector,RH
Rite Aid,Healthcare,RAD
Robert Half International,Industrials,RHI
Rock-Tenn,Basic Materials,RKT
Rocket Companies,Unknown Sector,RKT
Rockwell Automation,Industrials,ROK
Rockwell Collins,Industrials,NAN
Rollins,Unknown Sector,ROL
Roper Technologies,Unknown Sector,ROP
Ross Stores,Consumer Cyclical,ROST
RPM International,Basic Materials,RPM
Ruddick,Consumer Defensive,RDK
Rush Enterprises,Unknown Sector,RUSHA
Ryder System,Industrials,R
Ryerson Holding,Unknown Sector,RYI
S&P Global,Financial Services,SPGI
Safeway,Consumer Defensive,NAN
Salesforce,Technology,CRM
salesforce.com,Technology,CRM
Sally Beauty Holdings,Consumer Cyclical,SBH
Sanderson Farms,Unknown Sector,SAFM
SanDisk,Technology,SNDK
Sanmina,Technology,SANM
Sanmina-SCI,Technology,SANM
Sara Lee,Consumer Defensive,NAN
SBA Communications,Unknown Sector,SBAC
Scana,Utilities,SCG
ScanSource,Unknown Sector,SCSC
Schneider National,Unknown Sector,SNDR
Science Applications International,Technology,SAIC
Science Applications International Corporation,Technology,SAIC
Scientific Games,Unknown Sector,SGMS
Scotts Miracle-Gro,Unknown Sector,SMG
Seaboard,Industrials,SEB
Seagen,Unknown Sector,SGEN
Sealed Air,Consumer Cyclical,SEE
Sears Holdings,Consumer Cyclical,SHLDQ
Securian Financial Group,Financial Services,nan
Select Medical Holdings,Unknown Sector,SEM
Selective Insurance Group,Unknown Sector,SIGI
Sempra,Utilities,SRE
Sempra Energy,Utilities,SRE
Sentry Insurance Group,Unknown Sector,SKVY
Service Corp. International,Unknown Sector,SCI
ServiceNow,Technology,NOW
Shaw Group,Industrials,SHAW
Sherwin-Williams,Basic Materials,SHW
Silgan Holdings,Consumer Cyclical,SLGN
Simon Property Group,Real Estate,SPG
Sinclair Broadcast Group,Unknown Sector,SBGI
SiteOne Landscape Supply,Unknown Sector,SITE
Skechers U.S.A.,Consumer Cyclical,SKX
SkyWest,Unknown Sector,SKYW
Skyworks Solutions,Unknown Sector,SWKS
Sleep Number,Unknown Sector,SNBR
SLM,Financial Services,SLM
Smithfield Foods,Consumer Defensive,SFD
Smurfit-Stone Container,Basic Materials,SSCC
Snap,Unknown Sector,SNAP
Snap-on,Unknown Sector,SNA
Sonic Automotive,Consumer Cyclical,SAH
Sonoco Products,Consumer Cyclical,SON
Southern,Utilities,SO
Southwest Airlines,Industrials,LUV
Southwest Gas Holdings,Unknown Sector,SWX
Southwestern Energy,Energy,SWN
SpartanNash,Consumer Defensive,SPTN
Spectra Energy,Energy,SE
Spectrum Brands Holdings,Consumer Defensive,SPB
Spectrum Group International,Consumer Cyclical,SPGZ
Spire,Unknown Sector,SPIR
Spirit AeroSystems Holdings,Industrials,SPR
Splunk,Unknown Sector,SPLK
Sprague Resources,Unknown Sector,SRLP
Sprint Nextel,Communication Services,nan
Sprouts Farmers Market,Consumer Defensive,SFM
SPX,Industrials,nan
Square,Unknown Sector,NaN
SS&C Technologies Holdings,Unknown Sector,SSNC
St. Jude Medical,Healthcare,nan
Stanley Black & Decker,Industrials,SWK
Staples,Consumer Defensive,SPLS
Starbucks,Consumer Cyclical,SBUX
Starwood Hotels & Resorts,Real Estate,HOT
State Farm Insurance,Financial Services,nan
State Farm Insurance Cos.,Financial Services,nan
State Street,Financial Services,STT
State Street Corp.,Financial Services,STT
Steel Dynamics,Basic Materials,STLD
Steelcase,Industrials,SCS
Stepan,Unknown Sector,SCL
Stericycle,Unknown Sector,SRCL
Stewart Information Services,Unknown Sector,STC
Stifel Financial,Unknown Sector,SF
StoneX Group,Financial Services,SNEX
Stryker,Healthcare,SYK
Summit Materials,Unknown Sector,SUM
SunGard Data Systems,Technology,SDS
Sunoco,Energy,SUN
SunTrust Banks,Financial Services,TFC
Super Micro Computer,Unknown Sector,SMCI
Supervalu,Consumer Defensive,SVU
Surgery Partners,Unknown Sector,SGRY
Susser Holdings,Consumer Defensive,SUSS
SVB Financial Group,Financial Services,SIVBQ
Symantec,Technology,SYMC
Synchrony Financial,Financial Services,SYF
Syneos Health,Unknown Sector,SYNH
Synnex,Technology,SNX
Synopsys,Unknown Sector,SNPS
Synovus Financial,Unknown Sector,SNV
Sysco,Consumer Defensive,SYY
T. Rowe Price,Unknown Sector,TROW
Take-Two Interactive Software,Unknown Sector,TTWO
Tapestry,Consumer Cyclical,TPR
Targa Resources,Energy,TRGP
Target,Consumer Defensive,TGT
Taylor Morrison Home,Consumer Cyclical,TMHC
TCF Financial,Unknown Sector,TCF
TD Ameritrade Holding,Unknown Sector,AMTD
TD Synnex,Technology,SNX
Tech Data,Technology,TECD
TEGNA,Communication Services,TGNA
Teledyne FLIR,Unknown Sector,FLIR
Teledyne Technologies,Unknown Sector,TDY
Teleflex,Healthcare,TFX
Telephone & Data Systems,Communication Services,TDS
Tempur Sealy International,Consumer Cyclical,TPX
Tenet Healthcare,Healthcare,THC
Tenneco,Consumer Cyclical,nan
Teradyne,Unknown Sector,TER
Terex,Industrials,TEX
Terminix Global Holdings,Unknown Sector,TMX
Tesla,Consumer Cyclical,TSLA
Tesoro,Basic Materials,TSO
Tetra Tech,Unknown Sector,TTEK
Texas Instruments,Technology,TXN
Texas Roadhouse,Unknown Sector,TXRH
Textron,Industrials,TXT
Thermo Fisher Scientific,Healthcare,TMO
Thor Industries,Consumer Cyclical,THO
Thrivent Financial for Lutherans,Financial Services,nan
TIAA,Financial Services,nan
TIAA-CREF,Financial Services,TRGIX
Time Warner,Communication Services,TWX
Time Warner Cable,Communication Services,TWX
Timken,Industrials,TKR
TJX,Consumer Cyclical,TJX
Toll Brothers,Consumer Cyclical,TOL
TopBuild,Unknown Sector,BLD
Toro,Industrials,TORO
"Toys ""R"" Us",Consumer Cyclical,VNO
Toys “R” Us,Consumer Cyclical,nan
Tractor Supply,Consumer Cyclical,TSCO
TransDigm Group,Unknown Sector,TDG
TransUnion,Industrials,TRU
Travel + Leisure,Unknown Sector,TNL
TravelCenters of America,Consumer Cyclical,TA
Travelers,Financial Services,TRV
Travelers Cos.,Financial Services,TRV
TreeHouse Foods,Consumer Cyclical,THS
Tri Pointe Homes,Unknown Sector,TPH
Trimble,Unknown Sector,TRMB
TriNet Group,Unknown Sector,TNET
Trinity Industries,Industrials,TRN
Triple-S Management,Unknown Sector,GTS
Triumph Group,Unknown Sector,TGI
Truist Financial,Financial Services,TFC
TRW Automotive Holdings,Consumer Cyclical,TRW
TTEC Holdings,Unknown Sector,TTEC
TTM Technologies,Unknown Sector,TTMI
Tutor Perini,Industrials,TPC
Twenty-First Century Fox,Communication Services,FOXA
Twitter,Unknown Sector,TWTR
Tyson Foods,Consumer Defensive,TSN
U.S. Bancorp,Financial Services,USB
Uber Technologies,Technology,UBER
UFP Industries,Basic Materials,UFPI
UGI,Utilities,UGI
Ulta Beauty,Consumer Cyclical,ULTA
Under Armour,Unknown Sector,UAA
Union Pacific,Industrials,UNP
Unisys,Technology,UIS
United Airlines Holdings,Industrials,UAL
United Continental Holdings,Industrials,UAL
United Natural Foods,Consumer Defensive,UNFI
United Parcel Service,Industrials,UPS
United Rentals,Industrials,URI
United Services Automobile Assn.,Financial Services,nan
United States Steel,Basic Materials,X
United Stationers,Industrials,nan
United Technologies,Industrials,UTX
UnitedHealth Group,Healthcare,UNH
Univar,Basic Materials,UNVR
Univar Solutions,Basic Materials,UNVR
Universal,Consumer Defensive,UUV
Universal American,Healthcare,UAM
Universal Health Services,Healthcare,UHS
Univision Communications,Unknown Sector,UVN
Unum Group,Financial Services,UNM
UPS,Industrials,UPS
Urban Outfitters,Unknown Sector,URBN
URS,Industrials,URS
US Airways Group,Industrials,LCC
US Foods,Consumer Defensive,USFD
US Foods Holding,Consumer Defensive,USFD
USAA,Financial Services,UATXX
UWM Holdings,Unknown Sector,UWMC
Vail Resorts,Consumer Cyclical,MTN
Valero Energy,Energy,VLO
Valhi,Basic Materials,VHI
Valmont Industries,Industrials,VMI
Valvoline,Unknown Sector,VVV
Vanguard Health Systems,Healthcare,VHS
Varian Medical Systems,Unknown Sector,VAR
Ventas,Real Estate,VTR
Verisk Analytics,Unknown Sector,VRSK
Veritiv,Industrials,VRTV
Verizon,Communication Services,VZ
Verizon Communications,Communication Services,VZ
Vertex Pharmaceuticals,Healthcare,VRTX
Vertiv Holdings,Unknown Sector,VRT
VF,Consumer Cyclical,VFC
Viacom,Communication Services,nan
ViacomCBS,Unknown Sector,VIAC
Viasat,Unknown Sector,VSAT
Viatris,Healthcare,VTRS
Victoria's Secret,Unknown Sector,VSCO
Virgin Media,Communication Services,VMED
Virtu Financial,Financial Services,VIRT
Visa,Financial Services,V
Vishay Intertechnology,Technology,VSH
Visteon,Consumer Cyclical,VC
Vistra,Utilities,VST
Vistra Energy,Utilities,VST
VMware,Technology,VMW
Vontier,Unknown Sector,VNT
Voya Financial,Financial Services,VOYA
Vulcan Materials,Basic Materials,VMC
W.R. Berkley,Financial Services,WRB
W.W. Grainger,Industrials,GWW
Wal-Mart Stores,Consumer Defensive,WMT
Walgreen,Healthcare,WBA
Walgreens,Healthcare,WBA
Walgreens Boots Alliance,Healthcare,WBA
Walmart,Consumer Defensive,WMT
Walt Disney,Communication Services,DIS
Warner Bros. Discovery,Communication Services,WBD
Warner Music Group,Unknown Sector,WMG
Washington Post,Communication Services,GHC
Waste Management,Industrials,WM
Waters,Unknown Sector,WAT
Watsco,Industrials,WSO
Wayfair,Consumer Cyclical,W
WEC Energy Group,Utilities,WEC
Weis Markets,Unknown Sector,WMK
WellCare Health Plans,Healthcare,NAN
WellPoint,Healthcare,ANTM
Wells Fargo,Financial Services,WFC
Welltower,Unknown Sector,WELL
Werner Enterprises,Unknown Sector,WERN
Wesco International,Industrials,WCC
WESCO International,Industrials,WCC
West Pharmaceutical Services,Unknown Sector,WST
Western & Southern Financial,Financial Services,NAN
Western & Southern Financial Group,Financial Services,nan
Western Digital,Technology,WDC
Western Midstream Partners,Unknown Sector,WES
Western Refining,Energy,WNR
Western Union,Financial Services,WU
Westinghouse Air Brake,Unknown Sector,WAB
Westinghouse Air Brake Technologies,Industrials,WAB
Westlake,Basic Materials,WLK
Westlake Chemical,Basic Materials,WLK
WestRock,Consumer Cyclical,WRK
Weyerhaeuser,Real Estate,WY
Whirlpool,Consumer Cyclical,WHR
Whole Foods Market,Consumer Defensive,WFM
Williams,Energy,WMB
Williams-Sonoma,Consumer Cyclical,WSM
Windstream,Communication Services,nan
Windstream Holdings,Communication Services,WINMQ
Windstream Holdings II,Unknown Sector,VCG
Winn-Dixie Stores,Consumer Defensive,NAN
Winnebago Industries,Consumer Cyclical,WGO
Woodward,Unknown Sector,WWD
Workday,Unknown Sector,WDAY
World Fuel Services,Energy,INT
Worthington Industries,Industrials,WOR
Wyndham Destinations,Consumer Cyclical,WH
Wyndham Worldwide,Consumer Cyclical,WH
Wynn Resorts,Consumer Cyclical,WYNN
Xcel Energy,Utilities,XEL
Xerox,Technology,XRX
Xerox Holdings,Unknown Sector,XRX
Xilinx,Unknown Sector,XLNX
XPO,Industrials,XPO
XPO Logistics,Industrials,XPO
Xylem,Unknown Sector,XYL
Yahoo,Communication Services,nan
Yellow,Unknown Sector,YELLQ
YRC Worldwide,Industrials,YELLQ
Yum Brands,Consumer Cyclical,YUM
Yum China Holdings,Consumer Cyclical,YUMC
Zebra Technologies,Unknown Sector,ZBRA
Zillow Group,Unknown Sector,ZG
Zimmer Biomet Holdings,Healthcare,ZBH
Zions Bancorp.,Unknown Sector,ZION
Zoetis,Healthcare,ZTS
Zoom Video Communications,Unknown Sector,ZM
Zynga,Unknown Sector,nan