Year - Month,Monthly Real GDP Index
2011 - Jan,16865.361
2011 - Feb,16841.068
2011 - Mar,17056.068
2011 - Apr,17097.467
2011 - May,17037.919
2011 - Jun,16970.706
2011 - Jul,17025.596
2011 - Aug,17097.190
2011 - Sep,16971.911
2011 - Oct,17256.886
2011 - Nov,17204.093
2011 - Dec,17207.578
2012 - Jan,17267.042
2012 - Feb,17510.271
2012 - Mar,17324.288
2012 - Apr,17412.942
2012 - May,17475.967
2012 - Jun,17445.296
2012 - Jul,17518.066
2012 - Aug,17414.988
2012 - Sep,17476.619
2012 - Oct,17407.057
2012 - Nov,17485.925
2012 - Dec,17577.351
2013 - Jan,17719.632
2013 - Feb,17601.689
2013 - Mar,17666.608
2013 - Apr,17697.998
2013 - May,17652.741
2013 - Jun,17778.998
2013 - Jul,17802.741
2013 - Aug,17894.018
2013 - Sep,17885.319
2013 - Oct,17983.943
2013 - Nov,18055.033
2013 - Dec,18010.154
2014 - Jan,17898.465
2014 - Feb,17986.814
2014 - Mar,17977.350
2014 - Apr,18106.737
2014 - May,18202.057
2014 - Jun,18249.640
2014 - Jul,18362.230
2014 - Aug,18467.644
2014 - Sep,18391.665
2014 - Oct,18495.491
2014 - Nov,18509.386
2014 - Dec,18495.836
2015 - Jan,18650.984
2015 - Feb,18729.876
2015 - Mar,18619.551
2015 - Apr,18782.646
2015 - May,18750.579
2015 - Jun,18813.923
2015 - Jul,18820.144
2015 - Aug,18833.108
2015 - Sep,18919.404
2015 - Oct,18916.437
2015 - Nov,18839.353
2015 - Dec,18921.115
2016 - Jan,18978.556
2016 - Feb,18953.788
2016 - Mar,19073.069
2016 - Apr,19089.481
2016 - May,19044.135
2016 - Jun,19054.753
2016 - Jul,19097.318
2016 - Aug,19205.517
2016 - Sep,19290.988
2016 - Oct,19218.323
2016 - Nov,19329.795
2016 - Dec,19364.941
2017 - Jan,19352.969
2017 - Feb,19375.117
2017 - Mar,19466.985
2017 - Apr,19388.859
2017 - May,19518.739
2017 - Jun,19613.292
2017 - Jul,19595.187
2017 - Aug,19639.029
2017 - Sep,19748.058
2017 - Oct,19760.765
2017 - Nov,19911.979
2017 - Dec,19974.245
2018 - Jan,19997.917
2018 - Feb,20100.193
2018 - Mar,20034.090
2018 - Apr ,20081.718
2018 - May,20184.000
2018 - Jun,20185.723
2018 - Jul,20255.102
2018 - Aug,20287.778
2018 - Sep,20285.619
2018 - Oct,20286.733
2018 - Nov,20304.362
2018 - Dec,20323.536
2019 - Jan,20419.935
2019 - Feb,20406.187
2019 - Mar,20419.351
2019 - Apr,20492.941
2019 - May,20576.163
2019 - Jun,20684.526
2019 - Jul,20773.878
2019 - Aug,20818.087
2019 - Sep,20860.822
2019 - Oct,20853.718
2019 - Nov,21000.152
2019 - Dec,20999.592
2020 - Jan,20960.199
2020 - Feb,21057.417
2020 - Mar,19979.944
2020 - Apr,18153.206
2020 - May,18961.995
2020 - Jun,19991.603
2020 - Jul,20314.556
2020 - Aug,20493.660
2020 - Sep,20730.599
2020 - Oct,20812.840
2020 - Nov,20626.048
2020 - Dec,20737.201
2021 - Jan,21020.854
2021 - Feb,20758.500
2021 - Mar,21196.372
2021 - Apr,21270.734
2021 - May,21306.106
2021 - June,21355.787
2021 - July,21432.140
2021 - Aug,21467.692
2021 - Sep,21553.345
2021 - Oct,21777.972
2021 - Nov,21783.761
2021 - Dec,21985.168
2022 - Jan,21762.290
2022 - Feb,21745.845
2022 - Mar,21712.486
2022 - Apr,21676.579
2022 - May,21721.572
2022 - Jun,21730.444
2022 - Jul,21707.668
2022 - Aug,21980.003
2022 - Sep,21869.882
2022 - Oct,21905.776
2022 - Nov,22011.625
2022 - Dec,22056.654
2023 - Jan,22125.366
2023 - Feb,22111.892
2023 - Mar,22103.963
2023 - Apr,22109.485
2023 - May,22255.201
2023 - June,22316.05073
2023 - July,22412.868
2023 - Aug,22499.049
2023 - Sep,22564.780
2023 - Oct,22494.515
2023 - Nov,22683.429
2023 - Dec,22863.382